Flow stats:
- Total flows: 80

CPU core stats:
- Total epochs: 25069
- Time-avg cores: 1

epoch:430, core:1, rate:383
epoch:431, core:1, rate:480
epoch:432, core:1, rate:576
epoch:433, core:1, rate:480
epoch:434, core:1, rate:544
epoch:435, core:1, rate:480
epoch:436, core:1, rate:320
epoch:437, core:1, rate:384
epoch:438, core:1, rate:384
epoch:439, core:1, rate:320
epoch:440, core:1, rate:416
epoch:441, core:1, rate:383
epoch:442, core:1, rate:352
epoch:443, core:1, rate:382
epoch:444, core:1, rate:416
epoch:445, core:1, rate:352
epoch:446, core:1, rate:383
epoch:447, core:1, rate:351
epoch:448, core:1, rate:351
epoch:449, core:1, rate:447
epoch:450, core:1, rate:319
epoch:451, core:1, rate:416
epoch:452, core:1, rate:384
epoch:453, core:1, rate:411
epoch:454, core:1, rate:416
epoch:455, core:1, rate:413
epoch:456, core:1, rate:320
epoch:457, core:1, rate:480
epoch:458, core:1, rate:509
epoch:459, core:1, rate:479
epoch:460, core:1, rate:384
epoch:461, core:1, rate:320
epoch:462, core:1, rate:480
epoch:463, core:1, rate:384
epoch:464, core:1, rate:576
epoch:465, core:1, rate:416
epoch:466, core:1, rate:351
epoch:467, core:1, rate:320
epoch:468, core:1, rate:352
epoch:469, core:1, rate:352
epoch:470, core:1, rate:416
epoch:471, core:1, rate:448
epoch:472, core:1, rate:448
epoch:473, core:1, rate:477
epoch:474, core:1, rate:576
epoch:475, core:1, rate:476
epoch:476, core:1, rate:416
epoch:477, core:1, rate:540
epoch:478, core:1, rate:320
epoch:479, core:1, rate:288
epoch:480, core:1, rate:319
epoch:481, core:1, rate:351
epoch:482, core:1, rate:352
epoch:483, core:1, rate:416
epoch:484, core:1, rate:317
epoch:485, core:1, rate:319
epoch:486, core:1, rate:319
epoch:487, core:1, rate:384
epoch:488, core:1, rate:317
epoch:489, core:1, rate:382
epoch:490, core:1, rate:447
epoch:491, core:1, rate:351
epoch:492, core:1, rate:384
